"sample","latitude","longitude","date","time","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","detailed.consolidated.cobbles.no.biota","detailed.consolidated.cobbles.turf.mat","detailed.consolidated.rock.no.biota","detailed.consolidated.rock.turf.mat","detailed.consolidated.rock.veneer","detailed.invertebrate.complex.complex.1.","detailed.macroalgae.articulated.calcareous.","detailed.macroalgae.encrusting.brown","detailed.macroalgae.encrusting.red","detailed.macroalgae.erect.course.branching.brown","detailed.macroalgae.erect.course.branching.red","detailed.macroalgae.erect.fine.branching.brown","detailed.macroalgae.erect.fine.branching.green","detailed.macroalgae.erect.fine.branching.red","detailed.macroalgae.laminate.","detailed.macroalgae.large.canopy.forming.ecklonia.radiata","detailed.macroalgae.small.mixed.","detailed.seagrasses.strap.like.leaves.thalassodendrum.sp.","detailed.seagrasses.strap.like.leaves.thalassodendrum.sp.with.epiphytes.algae","detailed.sponges.crusts.","detailed.sponges.erect.forms.","detailed.sponges.hollow.forms.","detailed.sponges.massive.forms.","detailed.sponges.small.mixed.","detailed.unconsolidated.sand.mud.coarse.sand.","detailed.total.points.annotated","mean.relief","sd.relief"
"11",-34.117752,114.92306,20200602,13:55:00,"c2","South-west","Yes",2,28,30,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,4,0,1,0,0,0,0,1,6,2,27,1.5,0.629723529922403
"12",-34.132262,114.928545,20200602,12:03:00,"c1","South-west","Yes",18,22,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,1,1,0,3,0,0,15,2.78571428571429,0.42581531362632
"13",-34.128506,114.930547,20200602,12:09:00,"c1","South-west","Yes",6,29,35,0,0,0,0,2,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,2,0,3,6,8,30,2.1875,0.644455258838937
"14",-34.128381,114.925457,20200602,12:16:00,"c1","South-west","Yes",1,39,40,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,25,0,5,0,0,0,0,0,0,0,36,2.77777777777778,0.640512615220349
"15",-34.125012,114.91032,20200602,14:09:00,"c3","South-west","Yes",4,32,36,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,13,0,0,0,6,1,0,2,0,3,32,2.57575757575758,0.830297500534561
"16",-34.126181,114.906548,20200602,14:14:00,"c3","South-west","Yes",2,38,40,0,0,2,3,1,0,0,0,0,2,0,0,0,2,0,21,1,0,0,3,0,0,0,1,0,36,2.79411764705882,0.410425630121905
"17",-34.132142,114.92083,20200602,14:20:00,"c3","South-west","Yes",2,38,40,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,3,1,0,0,0,0,0,0,3,10,30,2.04347826086957,0.705707953345447
"18",-34.128679,114.924078,20200602,14:25:00,"c1","South-west","Yes",1,39,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,21,1,1,0,0,0,0,0,1,0,27,3,0
"19",-34.122542,114.927818,20200602,14:30:00,"c1","South-west","No",2,36,38,0,0,2,1,2,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,3,18,33,2.45161290322581,0.925156191404794
"20",-34.130219,114.820233,20200603,08:16:00,"c8","South-west","Yes",1,39,40,0,0,11,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,1,8,36,2.36,0.7
"21",-34.128151,114.817448,20200603,08:24:00,"c8","South-west","Yes",3,32,35,0,0,3,8,4,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,0,1,0,2,31,2.28,0.458257569495584
"22",-34.126271,114.819552,20200603,08:32:00,"c8","South-west","Yes",1,39,40,0,0,1,1,3,0,0,0,0,0,0,0,0,9,0,3,7,0,0,0,0,0,1,1,8,34,2.04545454545455,0.843872746402686
"23",-34.124217,114.817017,20200603,08:38:00,"c8","South-west","Yes",3,35,38,0,0,0,5,2,1,0,0,2,1,0,0,0,5,0,1,2,1,0,0,0,0,2,8,2,32,2.56521739130435,0.506869801869702
"24",-34.118739,114.826402,20200603,08:47:00,"c7","South-west","Yes",3,37,40,0,0,3,3,2,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,3,1,4,25,2.1,0.640723275517187
"25",-34.116829,114.828432,20200603,08:54:00,"c7","South-west","Yes",2,38,40,0,0,0,2,4,0,0,0,0,0,0,0,0,4,0,6,2,0,0,0,1,0,1,2,1,23,2.45454545454545,0.509647191437625
"26",-34.120881,114.828907,20200603,09:02:00,"c7","South-west","Yes",1,39,40,0,0,0,4,7,0,1,0,4,2,0,0,0,6,0,0,0,0,0,0,3,0,2,0,6,35,2.03448275862069,0.625799980635624
"27",-34.121824,114.832898,20200603,10:19:00,"c7","South-west","Yes",0,36,36,0,3,2,6,4,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,2,1,16,39,2.06896551724138,0.65088041927611
"28",-34.112916,114.852137,20200603,10:27:00,"c6","South-west","Yes",0,38,38,0,0,0,1,0,0,0,0,1,2,5,0,0,10,0,4,10,0,0,0,1,0,2,0,2,38,2.15384615384615,0.36794648440312
"29",-34.111084,114.855648,20200603,10:31:00,"c6","South-west","Yes",2,38,40,0,0,1,0,1,0,0,0,0,2,0,0,0,13,0,2,1,0,0,0,1,0,0,0,5,26,2.45833333333333,0.588229965875272
"30",-34.112094,114.85946,20200603,10:37:00,"c6","South-west","Yes",3,36,39,0,0,0,1,0,0,0,0,0,5,0,0,1,11,0,3,3,1,0,0,0,0,3,1,1,30,2.36363636363636,0.492365963917331
"31",-34.116007,114.860738,20200603,10:42:00,"c6","South-west","Yes",1,39,40,0,0,0,2,11,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,18,36,1.77777777777778,0.933699561847853
"32",-34.130076,114.86109,20200603,10:49:00,"c5","South-west","Yes",2,36,38,0,0,0,1,1,0,0,0,0,5,0,0,0,13,0,7,1,0,0,0,0,0,0,0,4,32,2.375,0.824225591744734
"33",-34.133067,114.8627,20200603,10:54:00,"c5","South-west","Yes",3,36,39,0,0,6,0,3,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,15,34,1.68,1.14455231422596
"34",-34.131334,114.866053,20200603,12:18:00,"c5","South-west","Yes",2,38,40,0,0,0,19,0,0,0,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,8,36,1.76,0.66332495807108
"35",-34.134801,114.869348,20200603,12:23:00,"c5","South-west","Yes",4,36,40,0,2,0,3,1,0,0,0,0,1,2,0,0,10,0,1,1,0,0,0,0,0,1,2,4,28,2.44444444444444,0.640512615220349
"36",-34.130484,114.878263,20200603,12:29:00,"c4","South-west","Yes",3,37,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,23,36,0.84,0.850490054811538
"37",-34.126354,114.878937,20200603,12:34:00,"c4","South-west","Yes",2,37,39,0,0,0,0,2,0,0,0,0,4,0,0,0,7,0,3,3,1,0,0,0,0,0,2,8,30,2.1304347826087,0.694415897524803
"38",-34.127912,114.883938,20200603,12:39:00,"c4","South-west","Yes",1,39,40,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,9,2,0,0,0,0,0,0,0,15,31,1.89473684210526,0.936585811581694
"39",-34.132294,114.884797,20200603,12:42:00,"c4","South-west","Yes",3,37,40,0,0,4,1,0,0,0,0,0,5,0,0,0,2,0,0,9,0,2,0,0,0,0,0,9,32,2.12,0.781024967590665
"40",-34.133669,114.880443,20200603,12:46:00,"c4","South-west","Yes",0,36,36,0,0,0,3,1,0,0,0,1,1,0,7,0,10,0,0,2,2,0,0,0,0,0,5,2,34,2.46428571428571,0.50787450018337
"08 - failed",-34.129336,114.911822,20200602,11:36:00,"c3","South-west","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11 - failed",-34.117769,114.923158,20200602,11:55:00,"c2","South-west","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
