Date,Sample,Time,Depth,Latitude,Longitude,Status,Site,Location,Observer,Successful.count,Successful.length
20210309,60,14:36:23,48.7,-34.0652,114.821,No-take,NA,South-west,Claude,Yes,No
20210309,134,14:53:24,41.7,-34.0631,114.857,No-take,NA,South-west,Claude,Yes,No
20210309,120,15:01:57,41.2,-34.0617,114.861,No-take,NA,South-west,Claude,Yes,No
20210309,8,15:13:44,42.5,-34.0554,114.851,No-take,NA,South-west,Claude,Yes,No
20210309,68,15:24:24,41.1,-34.05,114.859,No-take,NA,South-west,Claude,Yes,No
20210310,117,7:47:40,87.6,-34.0681,114.76,No-take,NA,South-west,Claude,Yes,No
20210310,17,7:59:46,92.2,-34.0742,114.757,No-take,NA,South-west,Claude,Yes,No
20210310,40,8:11:17,97,-34.0784,114.754,No-take,NA,South-west,Claude,Yes,No
20210310,72,8:24:26,105,-34.0685,114.747,No-take,NA,South-west,Claude,Yes,No
20210310,109,8:39:30,114,-34.0839,114.741,No-take,NA,South-west,Claude,Yes,No
20210310,145,8:53:28,121,-34.0891,114.732,No-take,NA,South-west,Claude,Yes,No
20210310,S1,9:35:53,140,-34.10277,114.639918,No-take,NA,South-west,Claude,Yes,No
20210310,S2,9:48:43,140,-34.10284,114.640335,No-take,NA,South-west,Claude,Yes,No
20210310,S3,10:00:35,140,-34.102738,114.640238,No-take,NA,South-west,Claude,Yes,No
20210310,90,10:40:20,122,-34.1003,114.731,No-take,NA,South-west,Claude,Yes,No
20210310,22,10:53:32,116,-34.1033,114.745,No-take,NA,South-west,Claude,Yes,No
20210310,77,11:05:33,111,-34.0979,114.75,No-take,NA,South-west,Claude,Yes,No
20210310,82,11:17:10,100,-34.0964,114.759,No-take,NA,South-west,Claude,Yes,No
20210310,49,11:29:02,96.4,-34.103,114.762,No-take,NA,South-west,Claude,Yes,No
20210310,141,11:43:24,105,-34.1175,114.762,No-take,NA,South-west,Claude,Yes,No
20210310,11,11:56:15,87.5,-34.1163,114.775,No-take,NA,South-west,Claude,Yes,No
20210310,146,12:11:02,62.1,-34.1099,114.79,No-take,NA,South-west,Claude,Yes,No
20210310,18,12:21:15,61.6,-34.1078,114.787,No-take,NA,South-west,Claude,Yes,No
20210310,42,12:31:20,70.1,-34.106,114.781,No-take,NA,South-west,Claude,Yes,No
20210310,84,12:40:18,69,-34.1034,114.78,No-take,NA,South-west,Claude,Yes,No
20210310,20,12:51:30,63.7,-34.1018,114.784,No-take,NA,South-west,Claude,Yes,No
20210310,55,13:01:39,71.7,-34.1011,114.778,No-take,NA,South-west,Claude,Yes,No
20210310,115,13:11:40,80.2,-34.1013,114.774,No-take,NA,South-west,Claude,Yes,No
20210310,96,13:21:13,71.4,-34.0975,114.776,No-take,NA,South-west,Claude,Yes,No
20210310,89,13:30:24,72.3,-34.0945,114.775,No-take,NA,South-west,Claude,Yes,No
20210310,131,13:40:07,73.4,-34.0906,114.773,No-take,NA,South-west,Claude,Yes,No
20210310,112,13:50:27,64.3,-34.0897,114.779,No-take,NA,South-west,Claude,Yes,No
20210310,101,13:59:19,65.1,-34.0917,114.782,No-take,NA,South-west,Claude,Yes,No
20210310,12,14:07:52,64.1,-34.0901,114.783,No-take,NA,South-west,Claude,Yes,No
20210310,54,14:19:06,61.4,-34.0925,114.789,No-take,NA,South-west,Claude,Yes,No
20210310,94,14:31:40,62.7,-34.0889,114.787,No-take,NA,South-west,Claude,Yes,No
20210310,4,14:41:33,63.5,-34.0862,114.785,No-take,NA,South-west,Claude,Yes,No
20210310,79,14:50:01,63.5,-34.0875,114.783,No-take,NA,South-west,Claude,Yes,No
20210310,103,15:02:11,69.1,-34.0866,114.774,No-take,NA,South-west,Claude,Yes,No
20210310,129,15:11:59,71.8,-34.0839,114.772,No-take,NA,South-west,Claude,Yes,No
20210310,45,15:21:31,74.4,-34.0816,114.771,No-take,NA,South-west,Claude,Yes,No
20210310,143,15:31:04,63.3,-34.0833,114.776,No-take,NA,South-west,Claude,Yes,No
20210310,113,15:40:40,64.4,-34.0809,114.78,No-take,NA,South-west,Claude,Yes,No
20210310,122,15:49:34,66.4,-34.0789,114.777,No-take,NA,South-west,Claude,Yes,No
20210311,27,7:35:29,54.2,-34.0521,114.789,No-take,NA,South-west,Claude,Yes,No
20210311,135,7:49:47,64.6,-34.0516,114.77,No-take,NA,South-west,Claude,Yes,No
20210311,74,7:59:08,64.9,-34.0513,114.769,No-take,NA,South-west,Claude,Yes,No
20210311,105,8:10:00,79.3,-34.0534,114.76,No-take,NA,South-west,Claude,Yes,No
20210311,63,8:20:29,79.6,-34.056,114.761,No-take,NA,South-west,Claude,Yes,No
20210311,25,8:32:18,75.4,-34.0626,114.765,No-take,NA,South-west,Claude,Yes,No
20210311,59,8:41:29,70,-34.062,114.766,No-take,NA,South-west,Claude,Yes,No
20210311,123,8:55:37,60.4,-34.0614,114.785,No-take,NA,South-west,Claude,Yes,No
20210311,119,9:08:31,64.8,-34.0634,114.771,No-take,NA,South-west,Claude,Yes,No
20210311,15,9:18:54,70.3,-34.0656,114.769,No-take,NA,South-west,Claude,Yes,No
20210311,85,9:31:10,76.3,-34.0701,114.767,No-take,NA,South-west,Claude,Yes,No
20210311,81,9:41:57,67.3,-34.0726,114.775,No-take,NA,South-west,Claude,Yes,No
20210311,29,10:08:31,74,-34.1266,114.784,No-take,NA,South-west,Claude,Yes,No
20210311,61,10:18:51,80.9,-34.1305,114.783,No-take,NA,South-west,Claude,Yes,No
20210311,21,10:31:29,62.5,-34.1285,114.797,No-take,NA,South-west,Claude,Yes,No
20210311,58,10:43:21,62.1,-34.1219,114.794,No-take,NA,South-west,Claude,Yes,No
20210311,87,10:54:39,59.2,-34.1259,114.805,No-take,NA,South-west,Claude,Yes,No
20210311,132,11:07:21,54.3,-34.1162,114.808,No-take,NA,South-west,Claude,Yes,No
20210311,9,11:17:35,51.7,-34.1175,114.813,No-take,NA,South-west,Claude,Yes,No
20210311,111,11:31:22,49.9,-34.1035,114.812,No-take,NA,South-west,Claude,Yes,No
20210311,142,11:43:30,49.3,-34.0971,114.814,No-take,NA,South-west,Claude,Yes,No
20210311,66,11:56:02,51,-34.0855,114.807,No-take,NA,South-west,Claude,Yes,No
20210311,34,12:07:52,56.3,-34.0829,114.798,No-take,NA,South-west,Claude,Yes,No
20210311,19,12:18:47,50.6,-34.0802,114.806,No-take,NA,South-west,Claude,Yes,No
20210311,75,12:30:45,49.6,-34.0836,114.816,No-take,NA,South-west,Claude,Yes,No
20210311,51,12:43:40,49.7,-34.0709,114.814,No-take,NA,South-west,Claude,Yes,No
20210311,31,12:55:47,50.5,-34.061,114.806,No-take,NA,South-west,Claude,Yes,No
20210311,13,13:07:27,49.6,-34.051,114.813,No-take,NA,South-west,Claude,Yes,No
