"sample","latitude","longitude","date","time","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","detailed.consolidated.boulder.veneer","detailed.consolidated.rock.no.biota","detailed.consolidated.rock.turf.mat","detailed.consolidated.rock.veneer","detailed.macroalgae.erect.course.branching.brown","detailed.macroalgae.erect.course.branching.red","detailed.macroalgae.erect.course.branching.unknown","detailed.macroalgae.erect.fine.branching.brown","detailed.macroalgae.erect.fine.branching.red","detailed.macroalgae.large.canopy.forming.ecklonia.radiata","detailed.macroalgae.large.canopy.forming.scytothalia.dorycarpa","detailed.macroalgae.small.mixed.","detailed.seagrasses.strap.like.leaves.other.sp.","detailed.seagrasses.strap.like.leaves.thalassodendrum.sp.","detailed.sponges.erect.forms.","detailed.sponges.massive.forms.","detailed.sponges.small.mixed.","detailed.unconsolidated.pebble.gravel.pebble.10.64mm.","detailed.unconsolidated.sand.mud.coarse.sand.","detailed.total.points.annotated","mean.relief","sd.relief"
"28",-34.112916,114.852137,20200603,10:27:00,"c6","South-west","Yes",0,40,40,0,0,2,3,4,0,0,0,11,5,0,0,0,0,0,0,1,0,0,26,2.15384615384615,0.36794648440312
"29",-34.111084,114.855648,20200603,10:31:00,"c6","South-west","Yes",0,40,40,0,0,0,0,10,0,0,0,3,5,0,0,0,1,0,0,4,0,1,24,2.45833333333333,0.588229965875272
"30",-34.112094,114.85946,20200603,10:37:00,"c6","South-west","Yes",2,38,40,0,0,0,0,3,1,0,0,12,3,0,0,0,1,0,1,1,0,0,22,2.36363636363636,0.492365963917331
"31",-34.116007,114.860738,20200603,10:42:00,"c6","South-west","Yes",0,40,40,0,0,7,0,4,0,2,0,5,0,0,0,0,0,0,0,0,0,9,27,1.77777777777778,0.933699561847853
"32",-34.130076,114.86109,20200603,10:49:00,"c5","South-west","Yes",0,40,40,0,0,0,0,9,0,0,0,7,3,0,2,0,0,0,0,0,0,3,24,2.375,0.824225591744734
"33",-34.133067,114.8627,20200603,10:54:00,"c5","South-west","Yes",0,40,40,1,2,0,3,4,0,0,0,3,0,0,0,0,0,0,2,1,0,9,25,1.68,1.14455231422596
"34",-34.131334,114.866053,20200603,12:18:00,"c5","South-west","Yes",0,40,40,0,6,8,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,3,25,1.76,0.66332495807108
"35",-34.134801,114.869348,20200603,12:23:00,"c5","South-west","Yes",0,40,40,0,0,0,1,9,0,0,0,9,4,0,0,0,1,0,1,0,0,2,27,2.44444444444444,0.640512615220349
"36",-34.130484,114.878263,20200603,12:29:00,"c4","South-west","Yes",1,39,40,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,17,25,0.84,0.850490054811538
"37",-34.126354,114.878937,20200603,12:34:00,"c4","South-west","Yes",0,40,40,0,0,0,0,8,0,0,0,8,1,0,0,0,1,0,1,0,0,4,23,2.1304347826087,0.694415897524803
"38",-34.127912,114.883938,20200603,12:39:00,"c4","South-west","Yes",0,40,40,0,0,5,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,7,19,1.89473684210526,0.936585811581694
"39",-34.132294,114.884797,20200603,12:42:00,"c4","South-west","Yes",0,40,40,0,1,0,0,10,0,0,0,7,0,0,0,0,0,0,0,1,0,6,25,2.12,0.781024967590665
"40",-34.133669,114.880443,20200603,12:46:00,"c4","South-west","Yes",0,40,40,0,0,0,0,10,0,0,0,8,4,0,0,0,0,0,0,6,0,0,28,2.46428571428571,0.50787450018337
"08 - failed",-34.129336,114.911822,20200602,11:36:00,"c3","South-west","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11 - failed",-34.117769,114.923158,20200602,11:55:00,"c2","South-west","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
