Date,Sample,Direction,Top.memory.card,Bottom.memory.card,Top.cam,Bottom.cam,Time.bottom,Time.end,Depth,Raw.hdd.number,Con.hdd.number,Latitude,Longitude,Comment,Habitat.image.exported,Site,Location,Status,Observer,Successful.count,Successful.length,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
8/3/2021,16,W,122,165,1231,1232,09:42:04,09:48:02,44.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,38,B,170,,1233,,09:54:17,10:00:41,45.4,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,38,E,121,147,1205,1207,09:54:17,10:00:41,45.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,38,N,167,156,1201,1202,09:54:17,10:00:41,45.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,38,S,172,163,1208,1209,09:54:17,10:00:41,45.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,38,W,122,165,1231,1232,09:54:17,10:00:41,45.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,71,B,170,,1233,,10:05:26,10:12:21,43.5,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,71,E,121,147,1205,1207,10:05:26,10:12:21,43.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,71,N,167,156,1201,1202,10:05:26,10:12:21,43.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,71,S,172,163,1208,1209,10:05:26,10:12:21,43.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,71,W,122,165,1231,1232,10:05:26,10:12:21,43.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,14,B,170,,1233,,10:15:13,10:22:20,43.6,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,14,E,121,147,1205,1207,10:15:13,10:22:20,43.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,14,N,167,156,1201,1202,10:15:13,10:22:20,43.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,14,S,172,163,1208,1209,10:15:13,10:22:20,43.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,14,W,122,165,1231,1232,10:15:13,10:22:20,43.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,150,B,170,,1233,,10:25:02,10:31:20,44.6,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,150,E,121,147,1205,1207,10:25:02,10:31:20,44.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,150,N,167,156,1201,1202,10:25:02,10:31:20,44.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,150,S,172,163,1208,1209,10:25:02,10:31:20,44.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,150,W,122,165,1231,1232,10:25:02,10:31:20,44.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,92,B,170,,1233,,10:32:55,10:38:56,44.3,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,92,E,121,147,1205,1207,10:32:55,10:38:56,44.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,92,N,167,156,1201,1202,10:32:55,10:38:56,44.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,92,S,172,163,1208,1209,10:32:55,10:38:56,44.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,92,W,122,165,1231,1232,10:32:55,10:38:56,44.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,28,B,170,,1233,,10:41:55,10:48:02,47,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,28,E,121,147,1205,1207,10:41:55,10:48:02,47,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,28,N,167,156,1201,1202,10:41:55,10:48:02,47,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,28,S,172,163,1208,1209,10:41:55,10:48:02,47,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,28,W,122,165,1231,1232,10:41:55,10:48:02,47,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,124,B,170,,1233,,10:51:39,10:57:52,45,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,124,E,121,147,1205,1207,10:51:39,10:57:52,45,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,124,N,167,156,1201,1202,10:51:39,10:57:52,45,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,124,S,172,163,1208,1209,10:51:39,10:57:52,45,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,124,W,122,165,1231,1232,10:51:39,10:57:52,45,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,53,B,170,,1233,,11:03:15,11:10:10,45.4,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,53,E,121,147,1205,1207,11:03:15,11:10:10,45.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,53,N,167,156,1201,1202,11:03:15,11:10:10,45.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,53,S,172,163,1208,1209,11:03:15,11:10:10,45.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,53,W,122,165,1231,1232,11:03:15,11:10:10,45.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,6,B,170,,1233,,11:15:50,11:22:10,44.4,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,6,E,121,147,1205,1207,11:15:50,11:22:10,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,6,N,167,156,1201,1202,11:15:50,11:22:10,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,6,S,172,163,1208,1209,11:15:50,11:22:10,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,6,W,122,165,1231,1232,11:15:50,11:22:10,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,149,B,170,,1233,,11:27:50,11:34:31,45.1,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,149,E,121,147,1205,1207,11:27:50,11:34:31,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,149,N,167,156,1201,1202,11:27:50,11:34:31,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,149,S,172,163,1208,1209,11:27:50,11:34:31,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,149,W,122,165,1231,1232,11:27:50,11:34:31,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,32,B,170,,1233,,11:39:04,11:45:12,45.1,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,32,E,121,147,1205,1207,11:39:04,11:45:12,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,32,N,167,156,1201,1202,11:39:04,11:45:12,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,32,S,172,163,1208,1209,11:39:04,11:45:12,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,32,W,122,165,1231,1232,11:39:04,11:45:12,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,116,B,170,,1233,,11:47:32,11:53:46,45.1,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,116,E,121,147,1205,1207,11:47:32,11:53:46,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,116,N,167,156,1201,1202,11:47:32,11:53:46,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,116,S,172,163,1208,1209,11:47:32,11:53:46,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,116,W,122,165,1231,1232,11:47:32,11:53:46,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,69,B,170,,1233,,11:58:09,12:04:15,43.7,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,69,E,121,147,1205,1207,11:58:09,12:04:15,43.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,69,N,167,156,1201,1202,11:58:09,12:04:15,43.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,69,S,172,163,1208,1209,11:58:09,12:04:15,43.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,69,W,122,165,1231,1232,11:58:09,12:04:15,43.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,138,B,170,,1233,,12:06:14,12:12:39,41.8,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,138,E,121,147,1205,1207,12:06:14,12:12:39,41.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,138,N,167,156,1201,1202,12:06:14,12:12:39,41.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,138,S,172,163,1208,1209,12:06:14,12:12:39,41.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,138,W,122,165,1231,1232,12:06:14,12:12:39,41.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,76,B,170,,1233,,12:16:18,12:22:41,43.3,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,76,E,121,147,1205,1207,12:16:18,12:22:41,43.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,76,N,167,156,1201,1202,12:16:18,12:22:41,43.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,76,S,172,163,1208,1209,12:16:18,12:22:41,43.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,76,W,122,165,1231,1232,12:16:18,12:22:41,43.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,144,B,170,,1233,,12:25:27,12:31:40,43.2,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,144,E,121,147,1205,1207,12:25:27,12:31:40,43.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,144,N,167,156,1201,1202,12:25:27,12:31:40,43.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,144,S,172,163,1208,1209,12:25:27,12:31:40,43.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,144,W,122,165,1231,1232,12:25:27,12:31:40,43.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,5,B,170,,1233,,12:36:29,12:43:11,45.2,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,5,E,121,147,1205,1207,12:36:29,12:43:11,45.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,5,N,167,156,1201,1202,12:36:29,12:43:11,45.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,5,S,172,163,1208,1209,12:36:29,12:43:11,45.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,5,W,122,165,1231,1232,12:36:29,12:43:11,45.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,107,B,170,,1233,,12:49:09,12:55:45,44.4,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,107,E,121,147,1205,1207,12:49:09,12:55:45,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,107,N,167,156,1201,1202,12:49:09,12:55:45,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,107,S,172,163,1208,1209,12:49:09,12:55:45,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,107,W,122,165,1231,1232,12:49:09,12:55:45,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,37,B,170,,1233,,13:01:59,13:08:50,46.5,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,37,E,121,147,1205,1207,13:01:59,13:08:50,46.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,37,N,167,156,1201,1202,13:01:59,13:08:50,46.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,37,S,172,163,1208,1209,13:01:59,13:08:50,46.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,37,W,122,165,1231,1232,13:01:59,13:08:50,46.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,102,B,170,,1233,,13:10:46,13:16:54,35.3,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,102,E,121,147,1205,1207,13:10:46,13:16:54,35.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,102,N,167,156,1201,1202,13:10:46,13:16:54,35.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,102,S,172,163,1208,1209,13:10:46,13:16:54,35.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,102,W,122,165,1231,1232,13:10:46,13:16:54,35.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,57,B,170,,1233,,13:19:57,13:25:55,44.4,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,57,E,121,147,1205,1207,13:19:57,13:25:55,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,57,N,167,156,1201,1202,13:19:57,13:25:55,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,57,S,172,163,1208,1209,13:19:57,13:25:55,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,57,W,122,165,1231,1232,13:19:57,13:25:55,44.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,24,B,170,,1233,,13:28:10,13:34:43,39.9,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,24,E,121,147,1205,1207,13:28:10,13:34:43,39.9,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,24,N,167,156,1201,1202,13:28:10,13:34:43,39.9,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,24,S,172,163,1208,1209,13:28:10,13:34:43,39.9,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,24,W,122,165,1231,1232,13:28:10,13:34:43,39.9,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,70,B,170,,1233,,13:36:49,13:43:01,38.7,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,70,E,121,147,1205,1207,13:36:49,13:43:01,38.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,70,N,167,156,1201,1202,13:36:49,13:43:01,38.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,70,S,172,163,1208,1209,13:36:49,13:43:01,38.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,70,W,122,165,1231,1232,13:36:49,13:43:01,38.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,62,B,170,,1233,,13:46:11,13:52:40,40.4,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,62,E,121,147,1205,1207,13:46:11,13:52:40,40.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,62,N,167,156,1201,1202,13:46:11,13:52:40,40.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,62,S,172,163,1208,1209,13:46:11,13:52:40,40.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,62,W,122,165,1231,1232,13:46:11,13:52:40,40.4,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,104,B,170,,1233,,13:54:56,14:01:14,41.8,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,104,E,121,147,1205,1207,13:54:56,14:01:14,41.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,104,N,167,156,1201,1202,13:54:56,14:01:14,41.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,104,S,172,163,1208,1209,13:54:56,14:01:14,41.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,104,W,122,165,1231,1232,13:54:56,14:01:14,41.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,30,B,170,,1233,,14:03:59,14:09:35,41.7,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,30,E,121,147,1205,1207,14:03:59,14:09:35,41.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,30,N,167,156,1201,1202,14:03:59,14:09:35,41.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,30,S,172,163,1208,1209,14:03:59,14:09:35,41.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,30,W,122,165,1231,1232,14:03:59,14:09:35,41.7,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,95,B,170,,1233,,14:13:32,14:19:40,41.2,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,95,E,121,147,1205,1207,14:13:32,14:19:40,41.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,95,N,167,156,1201,1202,14:13:32,14:19:40,41.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,95,S,172,163,1208,1209,14:13:32,14:19:40,41.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,95,W,122,165,1231,1232,14:13:32,14:19:40,41.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,106,B,170,,1233,,14:31:45,,43.9,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,106,E,121,147,1205,1207,14:31:45,,43.9,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,106,N,167,156,1201,1202,14:31:45,,43.9,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,106,S,172,163,1208,1209,14:31:45,,43.9,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,106,W,122,165,1231,1232,14:31:45,,43.9,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,39,B,170,,1233,,14:42:20,14:48:28,42.3,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
