"sample","latitude","longitude","date","location","depth","fov.Open","mean.relief","sd.relief","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","total.points.annotated"
"14",-34.0979,114.913,20210308,"West Coast",43.6,100,2.31746031746032,0.502426268877297,0,0,8,0,0,39,0,0,8,0,15,70
"150",-34.1,114.917,20210308,"West Coast",44.6,100,2.17647058823529,0.731817946339609,0,0,11,0,0,40,0,0,0,0,26,77
"92",-34.101,114.918,20210308,"West Coast",44.3,100,2.75,0.639602149066831,0,0,12,0,0,17,0,27,17,0,7,80
"28",-34.0995,114.923,20210308,"West Coast",47,100,2.6,0.524404424085076,0,0,1,0,0,44,0,14,12,0,5,76
"124",-34.1003,114.929,20210308,"West Coast",45,100,1.8955223880597,0.720570656813666,0,0,1,0,0,41,0,0,1,0,36,79
"53",-34.1047,114.92,20210308,"West Coast",45.4,100,2.03076923076923,0.611586838918613,0,0,7,0,0,48,0,0,3,0,21,79
"6",-34.1073,114.918,20210308,"West Coast",44.4,100,3,0,0,0,5,0,0,45,0,22,3,0,0,75
"149",-34.1135,114.931,20210308,"West Coast",45.1,100,2.16666666666667,0.597001052268969,0,0,2,0,0,47,0,7,2,0,21,79
"32",-34.1125,114.921,20210308,"West Coast",45.1,100,2.53846153846154,0.561162940823649,0,0,2,0,0,45,0,18,3,0,10,78
"116",-34.1138,114.919,20210308,"West Coast",45.1,100,2.52380952380952,0.591802682273867,0,0,4,0,0,61,0,1,1,0,12,79
"69",-34.1187,114.911,20210308,"West Coast",43.7,100,3,0,0,0,19,0,0,43,0,9,0,0,0,71
"138",-34.119,114.912,20210308,"West Coast",41.8,100,3,0,0,0,0,0,0,47,0,26,1,0,0,74
"76",-34.1217,114.916,20210308,"West Coast",43.3,100,2.86885245901639,0.340363033444467,0,0,2,0,0,46,0,22,5,0,4,79
"144",-34.1221,114.92,20210308,"West Coast",43.2,100,2.35,0.605763280945926,0,0,5,0,0,27,0,9,4,0,24,69
"5",-34.125,114.93,20210308,"West Coast",45.2,100,2.6031746031746,0.493168901894889,0,0,1,0,0,66,0,0,6,0,3,76
"107",-34.1347,114.94,20210308,"West Coast",44.4,100,2.92307692307692,0.268543077764787,0,0,1,0,0,71,0,0,0,0,6,78
"37",-34.1303,114.931,20210308,"West Coast",46.5,100,2.9672131147541,0.179556222834158,0,0,0,0,0,76,0,4,0,0,0,80
"102",-34.1305,114.926,20210308,"West Coast",35.3,100,2.85294117647059,0.579879191802191,0,0,2,0,0,47,0,26,0,0,3,78
"57",-34.1341,114.924,20210308,"West Coast",44.4,100,2.35820895522388,0.513499359337284,0,0,3,0,0,47,0,14,6,0,8,78
"24",-34.1347,114.923,20210308,"West Coast",39.9,100,2.93846153846154,0.242185561406633,0,0,2,0,0,54,0,17,0,0,0,73
"70",-34.1321,114.922,20210308,"West Coast",38.7,100,3,0,0,0,0,0,0,23,0,52,0,0,0,75
"62",-34.1281,114.919,20210308,"West Coast",40.4,100,1.81944444444444,1.14235226663909,0,0,4,0,0,29,0,6,0,0,41,80
"104",-34.1255,114.918,20210308,"West Coast",41.8,100,3,0,0,0,5,0,0,44,0,20,1,0,0,70
"30",-34.1256,114.915,20210308,"West Coast",41.7,100,2.97101449275362,0.168994821775317,0,0,0,0,0,56,0,15,2,0,3,76
"95",-34.1229,114.91,20210308,"West Coast",41.2,100,2.5,0.734630886692453,0,0,9,0,0,40,0,7,7,0,12,75
"106",-34.1313,114.875,20210308,"West Coast",43.9,100,2.84210526315789,0.367883603690979,0,0,2,0,0,48,0,18,2,0,2,72
"39",-34.1301,114.877,20210308,"West Coast",42.3,100,2.88524590163934,0.321370018085991,0,0,1,0,0,61,0,7,2,0,3,74
"140",-34.1163,114.882,20210308,"West Coast",42.4,100,2.40677966101695,0.529106079833831,0,0,9,0,0,53,0,9,1,0,5,77
"10",-34.1084,114.886,20210308,"West Coast",41.5,100,2.43548387096774,0.499867777334724,0,0,7,0,0,58,0,2,2,0,5,74
"147",-34.0908,114.895,20210308,"West Coast",43.3,100,2.21212121212121,0.511863909652421,0,0,14,0,0,49,0,2,1,0,10,76
"23",-34.0829,114.899,20210308,"West Coast",43.2,100,2.52238805970149,0.53252426193765,0,0,7,0,0,58,0,0,1,0,7,73
"Old Point",-34.050194,114.869122,20210309,"West Coast",42.3,100,2.16417910447761,0.447112450277472,0,0,16,0,0,42,0,6,4,0,9,77
"41",-34.0596,114.877,20210309,"West Coast",41.4,100,2.578125,0.612169898089561,0,0,1,0,0,63,0,1,4,0,1,70
"33",-34.0742,114.871,20210309,"West Coast",46.7,100,2.39344262295082,0.492567711913471,0,0,2,0,0,73,0,1,1,0,1,78
"86",-34.0774,114.865,20210309,"West Coast",41.2,100,2.31147540983607,0.671837867508657,0,0,15,0,0,45,0,7,0,0,6,73
"56",-34.0782,114.873,20210309,"West Coast",41.6,100,2.41666666666667,0.666079553680329,0,0,3,0,0,62,0,1,0,0,13,79
"65",-34.0813,114.884,20210309,"West Coast",41.6,100,2.24590163934426,0.674678632261761,0,0,2,0,0,51,0,3,1,0,16,73
"137",-34.0854,114.877,20210309,"West Coast",42.1,100,2.39130434782609,0.711613562189889,0,0,3,0,0,47,0,9,4,0,15,78
"48",-34.0891,114.882,20210309,"West Coast",42.1,100,2.46666666666667,0.566483852199037,0,0,2,0,0,59,0,8,4,0,4,77
"67",-34.0899,114.873,20210309,"West Coast",42.5,100,2.1044776119403,0.526115794323488,0,0,13,0,0,52,0,1,0,0,13,79
"126",-34.0912,114.87,20210309,"West Coast",43.1,100,2.36065573770492,0.731044615265168,0,0,0,0,0,44,0,10,1,0,21,76
"44",-34.0931,114.858,20210309,"West Coast",43.8,100,2.28260869565217,0.501687972006544,0,0,2,0,0,51,0,18,0,0,5,76
"35",-34.0959,114.852,20210309,"West Coast",43.5,100,2.45901639344262,0.593682588925633,0,0,0,0,0,60,0,9,3,0,7,79
"100",-34.0961,114.847,20210309,"West Coast",43.4,100,2.24615384615385,0.771175426515614,0,0,11,0,0,35,0,9,3,0,22,80
"7",-34.0995,114.853,20210309,"West Coast",44.2,100,2.265625,0.821191304587523,0,0,3,0,0,32,0,10,2,0,29,76
"108",-34.1001,114.85,20210309,"West Coast",44.1,100,2.63333333333333,0.58125132889709,0,0,1,0,0,40,0,25,3,0,6,75
"26",-34.1003,114.844,20210309,"West Coast",44.2,100,2.015625,0.62974390108391,0,0,4,0,0,61,0,2,0,0,13,80
"125",-34.104,114.847,20210309,"West Coast",45.8,100,2.6,0.632455532033676,0,0,4,0,0,47,0,4,5,0,15,75
"98",-34.1139,114.856,20210309,"West Coast",43.5,100,2.93333333333333,0.251548874293232,0,0,7,0,0,58,0,12,1,0,0,78
"1",-34.1318,114.853,20210309,"West Coast",44.1,100,2.3030303030303,0.580972578982122,0,0,10,0,0,53,0,0,0,0,10,73
"83",-34.1341,114.838,20210309,"West Coast",47.9,100,1.52307692307692,0.663976945846303,0,0,36,0,0,31,0,1,0,0,8,76
"88",-34.1351,114.827,20210309,"West Coast",50.3,100,2.45588235294118,0.53066625342088,0,0,18,0,0,38,0,15,7,0,0,78
"36",-34.1317,114.822,20210309,"West Coast",50.7,100,2.38333333333333,0.613179174927665,0,0,2,0,0,65,0,0,1,0,4,72
"130",-34.1213,114.83,20210309,"West Coast",48.1,100,2.6875,0.774084200333755,0,0,1,0,0,37,0,17,0,18,7,80
"46",-34.119,114.831,20210309,"West Coast",48.1,100,1.90322580645161,0.843678079763798,0,0,19,0,0,46,0,5,0,0,6,76
"93",-34.1196,114.845,20210309,"West Coast",45.1,100,1.83823529411765,0.784367681784678,0,0,26,0,0,33,0,0,0,0,19,78
"78",-34.1182,114.841,20210309,"West Coast",46.7,100,2.91803278688525,0.37837732345782,0,0,1,0,0,53,0,14,8,0,0,76
"50",-34.1143,114.842,20210309,"West Coast",45.7,100,2.54098360655738,0.502452999188424,0,0,3,0,0,58,0,16,2,0,0,79
"80",-34.1034,114.832,20210309,"West Coast",46.6,100,2.14285714285714,0.503444357598888,0,0,24,0,0,51,0,2,1,0,2,80
"114",-34.0969,114.834,20210309,"West Coast",46.4,100,2.6984126984127,0.462633437940521,0,0,7,0,0,45,0,24,1,0,1,78
"64",-34.0937,114.84,20210309,"West Coast",47.7,100,1.88524590163934,0.635042273021718,0,0,7,0,0,39,0,13,2,0,14,75
"136",-34.0891,114.833,20210309,"West Coast",46,100,2.96923076923077,0.174035805334596,0,0,0,0,0,69,0,8,0,0,1,78
"97",-34.0872,114.842,20210309,"West Coast",44.8,100,2.46875,0.590096844352082,0,0,0,0,0,46,0,17,1,0,11,75
"121",-34.0836,114.853,20210309,"West Coast",42.8,100,2.6984126984127,0.462633437940521,0,0,5,0,0,62,0,4,0,0,8,79
"3",-34.0789,114.851,20210309,"West Coast",43.5,100,2.609375,0.491747370293402,0,0,0,0,0,68,0,7,0,0,3,78
"73",-34.0802,114.848,20210309,"West Coast",43.4,100,2.40983606557377,0.495884703680465,0,0,4,0,0,70,0,0,1,0,2,77
"118",-34.0714,114.826,20210309,"West Coast",47.3,100,2.38095238095238,0.580004767182061,0,0,11,0,0,60,0,2,1,0,5,79
"128",-34.0694,114.823,20210309,"West Coast",47.8,100,2.35294117647059,0.5115007442942,0,0,7,0,0,65,0,2,1,0,3,78
"60",-34.0652,114.821,20210309,"West Coast",48.7,100,2.0655737704918,0.543717219977946,0,0,19,0,0,49,0,5,3,0,4,80
"134",-34.0631,114.857,20210309,"West Coast",41.7,100,2.72131147540984,0.452074755653812,0,0,2,0,0,61,0,14,0,0,2,79
"120",-34.0617,114.861,20210309,"West Coast",41.2,100,2.42622950819672,0.531005850358312,0,0,2,0,0,55,0,7,2,0,11,77
"8",-34.0554,114.851,20210309,"West Coast",42.5,100,2.11111111111111,0.57110846128557,0,0,11,0,0,37,0,9,6,0,16,79
"68",-34.05,114.859,20210309,"West Coast",41.1,100,2.61904761904762,0.489521538244774,0,0,15,0,0,40,0,15,0,0,2,72
"117",-34.0681,114.76,20210310,"West Coast",87.6,100,1.53968253968254,0.779275859587208,0,0,0,0,20,0,0,0,17,0,39,76
"17",-34.0742,114.757,20210310,"West Coast",92.2,100,0.969230769230769,0.174035805334596,0,0,0,1,1,0,0,0,5,0,70,77
"40",-34.0784,114.754,20210310,"West Coast",97,100,0.40625,0.495014830625995,0,0,1,0,2,0,0,0,0,0,77,80
"72",-34.0685,114.747,20210310,"West Coast",105,100,0.80952380952381,0.395830806847786,0,0,3,1,0,0,0,0,0,0,76,80
"109",-34.0839,114.741,20210310,"West Coast",114,100,0.161290322580645,0.370801010976073,0,0,0,0,0,0,0,0,0,0,80,80
"145",-34.0891,114.732,20210310,"West Coast",121,100,0.0188679245283019,0.137360563948689,0,0,0,0,0,0,0,0,0,0,80,80
"S1",-34.10277,114.639918,20210310,"West Coast",140,100,0.1,0.302531690453766,0,0,0,0,0,0,0,0,0,0,79,79
"S2",-34.10284,114.640335,20210310,"West Coast",140,100,0.344827586206897,0.479463301485384,0,0,0,0,0,0,0,0,4,0,74,78
"S3",-34.102738,114.640238,20210310,"West Coast",140,100,0.344827586206897,0.806807095314742,0,0,0,0,0,0,0,0,1,0,77,78
"90",-34.1003,114.731,20210310,"West Coast",122,100,0.0909090909090909,0.29012942659283,0,0,0,0,0,0,0,0,1,0,79,80
"22",-34.1033,114.745,20210310,"West Coast",116,100,0.114754098360656,0.321370018085991,0,0,0,1,0,0,0,0,0,0,69,70
"77",-34.0979,114.75,20210310,"West Coast",111,100,0,0,0,0,0,0,0,0,0,0,0,0,78,78
"82",-34.0964,114.759,20210310,"West Coast",100,100,0.793650793650794,0.480548415161132,1,0,1,2,6,0,0,0,5,0,58,73
"49",-34.103,114.762,20210310,"West Coast",96.4,100,0.73134328358209,0.446606380562069,0,0,2,0,3,0,0,0,2,0,72,79
"141",-34.1175,114.762,20210310,"West Coast",105,100,0.577464788732394,0.497478551755491,0,0,0,0,0,0,0,0,0,0,76,76
"11",-34.1163,114.775,20210310,"West Coast",87.5,100,1.52459016393443,0.648242685446564,0,0,19,0,5,0,1,0,2,0,36,63
"146",-34.1099,114.79,20210310,"West Coast",62.1,100,2.45454545454545,0.501745206004255,0,0,51,0,0,13,0,0,12,0,3,79
"18",-34.1078,114.787,20210310,"West Coast",61.6,100,1.21311475409836,0.551203353230023,0,0,11,0,0,27,0,0,0,0,30,68
"42",-34.106,114.781,20210310,"West Coast",70.1,100,1,0,0,0,9,0,0,1,0,0,0,0,69,79
"84",-34.1034,114.78,20210310,"West Coast",69,100,2.04545454545455,0.209895078684432,0,0,50,0,4,1,0,0,16,0,3,74
"20",-34.1018,114.784,20210310,"West Coast",63.7,100,2.10769230769231,0.312403831356393,0,0,35,0,0,9,0,1,35,0,0,80
"55",-34.1011,114.778,20210310,"West Coast",71.7,100,2.04545454545455,0.369274472937998,0,0,10,2,11,0,1,0,39,0,6,69
"115",-34.1013,114.774,20210310,"West Coast",80.2,100,1.94285714285714,0.233791328096591,0,0,11,2,0,1,1,0,44,0,20,79
"96",-34.0975,114.776,20210310,"West Coast",71.4,100,1.72463768115942,0.591211566864641,0,0,26,3,0,15,1,0,3,0,30,78
"89",-34.0945,114.775,20210310,"West Coast",72.3,100,1.66666666666667,0.560112033611204,0,0,27,0,0,7,0,0,2,0,43,79
"131",-34.0906,114.773,20210310,"West Coast",73.4,100,1.81538461538462,0.391004623226651,0,0,4,5,15,0,0,0,35,0,9,68
"112",-34.0897,114.779,20210310,"West Coast",64.3,100,2.06756756756757,0.604346835940928,0,0,44,1,1,20,0,0,4,0,9,79
"101",-34.0917,114.782,20210310,"West Coast",65.1,100,1.22388059701493,0.67016270123976,0,0,23,0,5,7,0,0,5,0,40,80
"12",-34.0901,114.783,20210310,"West Coast",64.1,100,2.328125,0.536144007544052,0,0,21,0,4,3,3,0,41,0,3,75
"54",-34.0925,114.789,20210310,"West Coast",61.4,100,2.09836065573771,0.300273099737938,0,0,11,0,14,10,1,0,37,2,3,78
"94",-34.0889,114.787,20210310,"West Coast",62.7,100,1.33333333333333,0.80491448237913,0,0,6,0,0,8,0,0,0,0,65,79
"4",-34.0862,114.785,20210310,"West Coast",63.5,100,2.33823529411765,0.476626645012355,0,0,16,0,0,29,1,1,20,0,10,77
"79",-34.0875,114.783,20210310,"West Coast",63.5,100,1.49180327868852,0.766440926614094,0,0,8,0,4,15,0,0,8,0,36,71
"103",-34.0866,114.774,20210310,"West Coast",69.1,100,2.15625,0.510796141736308,0,0,6,0,8,7,3,0,12,0,32,68
"129",-34.0839,114.772,20210310,"West Coast",71.8,100,2.38235294117647,0.599238615535939,0,4,8,2,19,1,3,0,37,0,6,80
"45",-34.0816,114.771,20210310,"West Coast",74.4,100,1.95238095238095,0.580004767182061,0,0,16,0,8,7,0,0,41,0,8,80
"143",-34.0833,114.776,20210310,"West Coast",63.3,100,2,0,0,0,51,0,3,2,0,0,16,0,8,80
"113",-34.0809,114.78,20210310,"West Coast",64.4,100,1.234375,0.886265349565958,0,1,3,0,0,6,1,0,2,0,66,79
"122",-34.0789,114.777,20210310,"West Coast",66.4,100,1.42028985507246,0.497221607045806,0,0,26,0,0,29,0,0,3,0,19,77
"27",-34.0521,114.789,20210311,"West Coast",54.2,100,2.82539682539683,0.382676589626049,0,0,3,0,0,53,0,2,1,0,3,62
"135",-34.0516,114.77,20210311,"West Coast",64.6,100,2.046875,0.32996813217941,0,0,3,0,26,0,3,0,18,0,6,56
"74",-34.0513,114.769,20210311,"West Coast",64.9,100,2.02739726027397,0.470596628987726,0,0,31,0,11,3,0,0,22,0,11,78
"105",-34.0534,114.76,20210311,"West Coast",79.3,100,2.27272727272727,0.869048189253482,0,0,5,4,26,0,0,0,18,0,23,76
"63",-34.056,114.761,20210311,"West Coast",79.6,100,1.80597014925373,0.802246957559587,0,0,5,0,9,0,2,0,22,0,37,75
"25",-34.0626,114.765,20210311,"West Coast",75.4,100,2,0.171498585142509,0,0,13,2,3,0,0,0,41,0,15,74
"59",-34.062,114.766,20210311,"West Coast",70,100,1.89230769230769,0.312403831356393,0,0,14,5,8,0,1,0,42,0,7,77
"123",-34.0614,114.785,20210311,"West Coast",60.4,100,1.37878787878788,0.739337572844805,0,0,7,0,0,17,0,0,6,0,48,78
"119",-34.0634,114.771,20210311,"West Coast",64.8,100,2,0,0,1,16,1,24,6,0,0,24,0,3,75
"15",-34.0656,114.769,20210311,"West Coast",70.3,100,2,0.522232967867094,0,0,8,0,12,3,0,0,42,0,11,76
"85",-34.0701,114.767,20210311,"West Coast",76.3,100,1.93650793650794,0.564344206137099,0,0,8,0,13,0,1,0,22,0,26,70
"81",-34.0726,114.775,20210311,"West Coast",67.3,100,1.64615384615385,0.623266827660143,0,0,1,1,11,6,1,0,18,0,41,79
"29",-34.1266,114.784,20210311,"West Coast",74,100,1.6,0.493710441453287,0,0,1,1,0,13,0,0,10,0,44,69
"61",-34.1305,114.783,20210311,"West Coast",80.9,100,1.67605633802817,0.580015957596339,0,0,16,1,7,0,7,0,22,0,23,76
"21",-34.1285,114.797,20210311,"West Coast",62.5,100,2.59090909090909,0.495433694306862,0,0,26,0,0,6,0,0,35,0,6,73
"58",-34.1219,114.794,20210311,"West Coast",62.1,100,1.97183098591549,0.166633128751715,0,0,32,0,5,6,0,5,21,0,10,79
"87",-34.1259,114.805,20210311,"West Coast",59.2,100,2.09090909090909,0.547083813780575,0,0,26,0,0,19,0,0,30,0,2,77
"132",-34.1162,114.808,20210311,"West Coast",54.3,100,1.4375,1.34370962471642,0,0,9,0,0,2,0,0,4,0,60,75
"9",-34.1175,114.813,20210311,"West Coast",51.7,100,2.6865671641791,0.556203451545865,0,0,16,0,0,36,0,12,12,0,0,76
"111",-34.1035,114.812,20210311,"West Coast",49.9,100,2.42253521126761,0.668943128716291,0,0,15,0,0,55,0,3,1,0,5,79
"142",-34.0971,114.814,20210311,"West Coast",49.3,100,2.515625,0.503706499953334,0,0,0,0,0,55,0,14,2,0,2,73
"66",-34.0855,114.807,20210311,"West Coast",51,100,2.4,0.580947501931113,0,0,12,0,0,59,0,0,1,0,6,78
"34",-34.0829,114.798,20210311,"West Coast",56.3,100,1.89230769230769,0.73150266837938,0,0,4,0,0,40,0,0,0,0,35,79
"19",-34.0802,114.806,20210311,"West Coast",50.6,100,2.875,0.333333333333333,0,0,2,0,0,61,0,11,5,0,1,80
"75",-34.0836,114.816,20210311,"West Coast",49.6,100,2.40322580645161,0.556914138814624,0,0,16,0,0,51,0,1,2,0,1,71
"51",-34.0709,114.814,20210311,"West Coast",49.7,100,2.70967741935484,0.457616661617508,0,0,4,0,0,46,0,27,1,0,2,80
"31",-34.061,114.806,20210311,"West Coast",50.5,100,2.2,0.95524865872714,0,0,18,0,0,34,0,18,4,0,4,78
"13",-34.051,114.813,20210311,"West Coast",49.6,100,2.81428571428571,0.391683736027325,0,0,13,0,0,57,0,2,1,0,5,78
